id	partId	partLevel	partHealth	partDesc	effectPosList	entryList	levelUpCost
10019	101007	1	10	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	100
10020	101007	2	13	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	180
10021	101007	3	16	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	0
10022	101008	1	5	效果范围上的友方嘴巴有50%概率造成双倍伤害	0:2;1:2	ACTIVE:DAMAGE_MULTIPILER:0.5:2	120
10023	101008	2	7	效果范围上的友方嘴巴有60%概率造成双倍伤害	0:2;1:2;-1:1;2:1	ACTIVE:DAMAGE_MULTIPILER:0.6:2	200
10024	101008	3	10	效果范围上的友方嘴巴有70%概率造成双倍伤害	0:2;1:2;-1:1;2:1;-1:0;2:0;0:-1;1:-1	ACTIVE:DAMAGE_MULTIPILER:0.7:2	0
10025	101009	1	20	普通的皮肤	0:0	*	100
10026	101009	2	25	普通的皮肤	0:0	*	180
10027	101009	3	30	普通的皮肤	0:0	*	0
10028	101010	1	15	受到伤害时使伤害来源受到3点伤害	0:0	GET_HIT:REFLECT:1:3	100
10029	101010	2	17	受到伤害时使伤害来源受到4点伤害	0:0	GET_HIT:REFLECT:1:4	180
10030	101010	3	20	受到伤害时使伤害来源受到5点伤害	0:0	GET_HIT:REFLECT:1:5	0
10031	101011	1	10	对范围内的敌方目标造成9点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:9	100
10032	101011	2	12	对范围内的敌方目标造成12点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:12	180
10033	101011	3	15	对范围内的敌方目标造成15点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:15	0
10034	101012	1	8	对范围内的敌方目标造成4点伤害	0:0;1:0	ACTIVE:ATTACK:1:4	100
10035	101012	2	10	对范围内的敌方目标造成6点伤害	0:0;1:0	ACTIVE:ATTACK:1:6	180
10036	101012	3	12	对范围内的敌方目标造成8点伤害	0:0;1:0	ACTIVE:ATTACK:1:8	0
10037	101013	1	5	对效果范围内的敌方部位施加2层流血	0:1;0:2	ACTIVE:ENEMY_GET_BUFF:1:100001:2	100
10038	101013	2	8	对效果范围内的敌方部位施加2层流血	0:1;0:2	ACTIVE:ENEMY_GET_BUFF:1:100001:2	180
10039	101013	3	12	对效果范围内的敌方部位施加2层流血	0:1;0:2	ACTIVE:ENEMY_GET_BUFF:1:100001:2	0
10040	101014	1	5	使得效果范围内的敌方部位流血层数翻倍	0:0	ACTIVE:ENEMY_BUFF_MULTIPLIER:1:100001:2	100
10041	101014	2	8	使得效果范围内的敌方部位流血层数翻倍	0:0	ACTIVE:ENEMY_BUFF_MULTIPLIER:1:100001:2	180
10042	101014	3	12	使得效果范围内的敌方部位流血层数翻倍	0:0	ACTIVE:ENEMY_BUFF_MULTIPLIER:1:100001:2	0
10043	101015	1	10	消耗效果范围内的友方部位的所有流血层数，每消耗1层流血本体回复2点血量	-1:1;0:2;1:1	ACTIVE:CLEAR_SELF_BLEED_AND_HEAL_SELF:1:1:2	120
10044	101015	2	12	消耗效果范围内的友方部位的所有流血层数，每消耗1层流血本体回复3点血量	-1:1;0:2;1:1	ACTIVE:CLEAR_SELF_BLEED_AND_HEAL_SELF:1:1:3	200
10045	101015	3	15	消耗效果范围内的友方部位的所有流血层数，每消耗1层流血本体回复4点血量	-1:1;0:2;1:1	ACTIVE:CLEAR_SELF_BLEED_AND_HEAL_SELF:1:1:4	0
10046	101016	1	15	消耗效果范围内所有敌方部位至多2层流血层数（每个部位分开计算），每消耗1层流血，该部位回复2点血量	0:0;1:0;2:0	ACTIVE:CLEAR_ENEMY_BLEED_AND_HEAL_PART:1:2:1:2	120
10047	101016	2	17	消耗效果范围内所有敌方部位至多2层流血层数（每个部位分开计算），每消耗1层流血，该部位回复3点血量	0:0;1:0;2:0	ACTIVE:CLEAR_ENEMY_BLEED_AND_HEAL_PART:1:2:1:3	200
10048	101016	3	20	消耗效果范围内所有敌方部位至多2层流血层数（每个部位分开计算），每消耗1层流血，该部位回复4点血量	0:0;1:0;2:0	ACTIVE:CLEAR_ENEMY_BLEED_AND_HEAL_PART:1:2:1:4	0
10049	101017	1	15	默认攻击力为0，触发范围内敌方部位每有1层流血，该部位攻击力+2	0:0	ACTIVE:ATTACK_BY_ENEMY_BLEED:1:1:2	120
10050	101017	2	17	默认攻击力为0，触发范围内敌方部位每有1层流血，该部位攻击力+3	0:0	ACTIVE:ATTACK_BY_ENEMY_BLEED:1:1:3	200
10051	101017	3	20	默认攻击力为0，触发范围内敌方部位每有1层流血，该部位攻击力+4	0:0	ACTIVE:ATTACK_BY_ENEMY_BLEED:1:1:4	0
10052	101018	1	20	触发时自身获得1层流血	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:SELF_GET_BUFF:1:100001:1	120
10053	101018	2	22	触发时自身获得1层流血	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:SELF_GET_BUFF:1:100001:1	200
10054	101018	3	25	触发时自身获得1层流血	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:SELF_GET_BUFF:1:100001:1	0
10055	101019	1	20	受到攻击时，使伤害来源获得2层流血	0:0	GET_HIT:SEND_BLEED_BY_GET_HIT:1:2	120
10056	101019	2	22	受到攻击时，使伤害来源获得2层流血	0:0	GET_HIT:SEND_BLEED_BY_GET_HIT:1:2	200
10057	101019	3	25	受到攻击时，使伤害来源获得2层流血	0:0	GET_HIT:SEND_BLEED_BY_GET_HIT:1:2	0




